NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
3FFLX037,BUSLVFLX1209,0.24,1.0,0.1,3,curve292_50R,292.47,1
3FFLX038,BUSLVFLX1219,0.24,1.0,0.1,3,curve301_77R,302.51,1
3FFLX039,BUSLVFLX1232,0.24,1.0,0.1,3,curve369_00R,373.88,1
3FFLX040,BUSLVFLX1236,0.24,1.0,0.1,3,curve225_00R,226.12,1
3FFLX041,BUSLVFLX1240,0.24,1.0,0.1,3,curve332_00R,333.19,1
3FFLX042,BUSLVFLX1242,0.24,1.0,0.1,3,curve313_00R,310.04,1
3FFLX043,BUSLVFLX1246,0.24,1.0,0.1,3,curve215_30R,215.84,1
3FFLX044,BUSLVFLX1248,0.24,1.0,0.1,3,curve304_21R,305.02,1
3FFLX045,BUSLVFLX1253,0.24,1.0,0.1,3,curve269_45R,269.45,1
3FFLX046,BUSLVFLX1255,0.24,1.0,0.1,3,curve230_00R,229.37,1
3FFLX047,BUSLVFLX1259,0.24,1.0,0.1,3,curve215_30R,215.84,1
3FFLX048,BUSLVFLX1262,0.24,1.0,0.1,3,curve264_00R,261.47,1
3FFLX049,BUSLVFLX1264,0.24,1.0,0.1,3,curve242_00R,241.72,1
3FFLX050,BUSLVFLX1270,0.24,1.0,0.1,3,curve390_02R,387.79,1
3FFLX051,BUSLVFLX1271,0.24,1.0,0.1,3,curve459_00R,455.48,1
3FFLX052,BUSLVFLX1272,0.24,1.0,0.1,3,curve264_00R,261.47,1
