NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV3FFLX037,BUSLVFLX1209,0.24,3,1,1,1,PVprofile,1
PV3FFLX038,BUSLVFLX1219,0.24,3,1,1,1,PVprofile,1
PV3FFLX039,BUSLVFLX1232,0.24,3,1,1,1,PVprofile,1
PV3FFLX040,BUSLVFLX1236,0.24,3,1,1,1,PVprofile,1
PV3FFLX041,BUSLVFLX1240,0.24,3,1,1,1,PVprofile,1
PV3FFLX042,BUSLVFLX1242,0.24,3,1,1,1,PVprofile,1
PV3FFLX043,BUSLVFLX1246,0.24,3,1,1,1,PVprofile,1
PV3FFLX044,BUSLVFLX1248,0.24,3,1,1,1,PVprofile,1
PV3FFLX045,BUSLVFLX1253,0.24,3,1,1,1,PVprofile,1
PV3FFLX046,BUSLVFLX1255,0.24,3,1,1,1,PVprofile,1
PV3FFLX047,BUSLVFLX1259,0.24,3,1,1,1,PVprofile,1
PV3FFLX048,BUSLVFLX1262,0.24,3,1,1,1,PVprofile,1
PV3FFLX049,BUSLVFLX1264,0.24,3,1,1,1,PVprofile,1
PV3FFLX050,BUSLVFLX1270,0.24,3,1,1,1,PVprofile,1
PV3FFLX051,BUSLVFLX1271,0.24,3,1,1,1,PVprofile,1
PV3FFLX052,BUSLVFLX1272,0.24,3,1,1,1,PVprofile,1
