NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX016,BUSLVFLX1303,0.24,1.0,0.1,1,curve506_00R,488.08,1
1FFLX017,BUSLVFLX1306,0.24,1.0,0.1,1,curve390_02R,428.16,1
1FFLX018,BUSLVFLX1310,0.24,1.0,0.1,1,curve255_96R,355.34,1
1FFLX019,BUSLVFLX1339,0.24,1.0,0.1,1,curve369_00R,219.54,1
1FFLX020,BUSLVFLX1343,0.24,1.0,0.1,1,curve481_00R,411.38,1
1FFLX021,BUSLVFLX1352,0.24,1.0,0.1,1,curve248_00R,382.12,1
1FFLX022,BUSLVFLX1367,0.24,1.0,0.1,1,curve275_00R,299.56,1
1FFLX023,BUSLVFLX1368,0.24,1.0,0.1,1,curve304_21R,277.43,1
1FFLX024,BUSLVFLX1383,0.24,1.0,0.1,1,curve423_36R,361.29,1
1FFLX025,BUSLVFLX1397,0.24,1.0,0.1,1,curve346_00R,199.92,1
