NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX286,BUSLVFLX750,0.24,1.0,0.1,1,curve313_00R,317.64,1
3FFLX287,BUSLVFLX1292,0.24,1.0,0.1,3,curve269_45R,269.45,21
1FFLX288,BUSLVFLX278,0.24,1.0,0.1,1,curve292_50R,289.96,29
1FFLX289,BUSLVFLX266,0.24,1.0,0.1,1,curve292_50R,292.47,17
1FFLX290,BUSLVFLX962,0.24,1.0,0.1,1,curve248_00R,247.56,17
1FFLX291,BUSLVFLX317,0.24,1.0,0.1,1,curve413_00R,412.64,12
1FFLX292,BUSLVFLX944,0.24,1.0,0.1,1,curve230_00R,232.55,3
3FFLX293,BUSLVFLX1287,0.24,1.0,0.1,3,curve346_00R,343.99,21
1FFLX294,BUSLVFLX139,0.24,1.0,0.1,1,curve301_77R,302.51,29
1FFLX295,BUSLVFLX1009,0.24,1.0,0.1,1,curve264_00R,264.15,12
3FFLX296,BUSLVFLX1183,0.24,1.0,0.1,3,curve325_00R,320.19,1
1FFLX297,BUSLVFLX238,0.24,1.0,0.1,1,curve361_00R,361.28,14
1FFLX298,BUSLVFLX980,0.24,1.0,0.1,1,curve242_00R,241.72,3
1FFLX299,BUSLVFLX755,0.24,1.0,0.1,1,curve413_00R,417.5,13
3FFLX300,BUSLVFLX1279,0.24,1.0,0.1,3,curve255_96R,256.01,1
3FFLX301,BUSLVFLX1242,0.24,1.0,0.1,3,curve313_00R,310.04,11
1FFLX302,BUSLVFLX205,0.24,1.0,0.1,1,curve230_00R,232.55,30
1FFLX303,BUSLVFLX388,0.24,1.0,0.1,1,curve332_00R,330.55,21
3FFLX304,BUSLVFLX1266,0.24,1.0,0.1,3,curve275_00R,277.25,22
1FFLX305,BUSLVFLX134,0.24,1.0,0.1,1,curve283_00R,282.36,3
3FFLX306,BUSLVFLX1152,0.24,1.0,0.1,3,curve530_25R,532.63,3
1FFLX307,BUSLVFLX353,0.24,1.0,0.1,1,curve230_00R,229.37,1
1FFLX308,BUSLVFLX236,0.24,1.0,0.1,1,curve346_00R,343.99,22
1FFLX309,BUSLVFLX450,0.24,1.0,0.1,1,curve292_50R,294.98,12
1FFLX310,BUSLVFLX182,0.24,1.0,0.1,1,curve242_00R,244.66,11
1FFLX311,BUSLVFLX788,0.24,1.0,0.1,1,curve346_00R,343.99,17
1FFLX312,BUSLVFLX709,0.24,1.0,0.1,1,curve255_96R,256.01,3
3FFLX313,BUSLVFLX1142,0.24,1.0,0.1,3,curve325_00R,327.93,22
1FFLX314,BUSLVFLX1018,0.24,1.0,0.1,1,curve299_22R,300.0,11
1FFLX315,BUSLVFLX535,0.24,1.0,0.1,1,curve230_00R,232.55,11
1FFLX316,BUSLVFLX597,0.24,1.0,0.1,1,curve423_36R,422.65,29
1FFLX317,BUSLVFLX1015,0.24,1.0,0.1,1,curve346_00R,346.77,1
1FFLX318,BUSLVFLX1101,0.24,1.0,0.1,1,curve283_00R,279.81,21
1FFLX319,BUSLVFLX568,0.24,1.0,0.1,1,curve255_96R,258.75,1
1FFLX320,BUSLVFLX744,0.24,1.0,0.1,1,curve346_00R,349.59,3
3FFLX321,BUSLVFLX1182,0.24,1.0,0.1,3,curve304_21R,307.53,20
3FFLX322,BUSLVFLX1228,0.24,1.0,0.1,3,curve299_22R,297.49,12
1FFLX323,BUSLVFLX1049,0.24,1.0,0.1,1,curve369_00R,370.63,3
1FFLX324,BUSLVFLX702,0.24,1.0,0.1,1,curve269_45R,269.45,13
1FFLX325,BUSLVFLX667,0.24,1.0,0.1,1,curve325_00R,322.75,1
1FFLX326,BUSLVFLX964,0.24,1.0,0.1,1,curve215_30R,215.84,3
1FFLX327,BUSLVFLX442,0.24,1.0,0.1,1,curve304_21R,307.53,17
1FFLX328,BUSLVFLX984,0.24,1.0,0.1,1,curve299_22R,300.0,22
1FFLX329,BUSLVFLX1054,0.24,1.0,0.1,1,curve332_00R,333.19,12
1FFLX330,BUSLVFLX651,0.24,1.0,0.1,1,curve248_00R,250.41,22
1FFLX331,BUSLVFLX1000,0.24,1.0,0.1,1,curve325_00R,322.75,1
