NAME,BUS_FROM,BUS_TO,LENGTH[M],GEOMETRY,BASE_KV
LV1FFLX58,BUSLVFLX89,BUSLVFLX90,11.6077,Linecode=TRPX6AAC,0.12
LV1FFLX59,BUSLVFLX91,BUSLVFLX90,16.6857,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX60,BUSLVFLX93,BUSLVFLX91,2.172,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX61,BUSLVFLX108,BUSLVFLX91,8.2625,Linecode=TRPX4AAC,0.12
LV1FFLX62,BUSLVFLX92,BUSLVFLX93,16.5038,Linecode=TRPX6AAC,0.12
LV1FFLX63,BUSLVFLX142,BUSLVFLX93,20.3785,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX64,BUSLVFLX94,BUSLVFLX95,0.9998,Linecode=TRPX6AAC,0.12
LV1FFLX65,BUSLVFLX95,BUSLVFLX97,0.4834,Linecode=TRPX6AAC,0.12
LV1FFLX66,BUSLVFLX96,BUSLVFLX97,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX67,BUSLVFLX97,BUSLVFLX98,0.4944,Linecode=TRPX6AAC,0.12
LV1FFLX68,BUSLVFLX99,BUSLVFLX98,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX69,BUSLVFLX98,BUSLVFLX101,0.5065,Linecode=TRPX6AAC,0.12
LV1FFLX70,BUSLVFLX100,BUSLVFLX101,0.9999,Linecode=TRPX6AAC,0.12
LV1FFLX71,BUSLVFLX101,BUSLVFLX102,0.4995,Linecode=TRPX6AAC,0.12
LV1FFLX72,BUSLVFLX103,BUSLVFLX102,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX73,BUSLVFLX102,BUSLVFLX105,0.5055,Linecode=TRPX6AAC,0.12
LV1FFLX74,BUSLVFLX104,BUSLVFLX105,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX75,BUSLVFLX105,BUSLVFLX106,0.4995,Linecode=TRPX6AAC,0.12
LV1FFLX76,BUSLVFLX107,BUSLVFLX106,0.9999,Linecode=TRPX6AAC,0.12
LV1FFLX77,BUSLVFLX106,BUSLVFLX110,0.4934,Linecode=TRPX6AAC,0.12
LV1FFLX78,BUSLVFLX109,BUSLVFLX110,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX79,BUSLVFLX110,BUSLVFLX114,0.5075,Linecode=TRPX6AAC,0.12
LV1FFLX80,BUSLVFLX111,BUSLVFLX112,4.1483,Linecode=TRPX6AAC,0.12
LV1FFLX81,BUSLVFLX113,BUSLVFLX112,0.3592,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX82,BUSLVFLX112,BUSLVFLX118,0.8503,Linecode=TRPX6AAC,0.12
LV1FFLX83,BUSLVFLX112,BUSLVFLX122,6.4127,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX84,BUSLVFLX115,BUSLVFLX114,0.9999,Linecode=TRPX6AAC,0.12
LV1FFLX85,BUSLVFLX114,BUSLVFLX117,0.4954,Linecode=TRPX6AAC,0.12
LV1FFLX86,BUSLVFLX116,BUSLVFLX117,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX87,BUSLVFLX117,BUSLVFLX119,0.5005,Linecode=TRPX6AAC,0.12
LV1FFLX88,BUSLVFLX133,BUSLVFLX118,6.0481,Linecode=TRPX2AAC,0.12
LV1FFLX89,BUSLVFLX120,BUSLVFLX119,1.0,Linecode=TRPX6AAC,0.12
LV1FFLX90,BUSLVFLX119,BUSLVFLX125,1.014,Linecode=TRPX6AAC,0.12
LV1FFLX91,BUSLVFLX121,BUSLVFLX122,4.4314,Linecode=TRPX6AAC,0.12
LV1FFLX92,BUSLVFLX122,BUSLVFLX123,0.591,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX93,BUSLVFLX122,BUSLVFLX124,0.3663,Linecode=TRPX6AAC,0.12
LV1FFLX94,BUSLVFLX123,BUSLVFLX126,4.0562,Geometry=1FLV3/0AAC3/0AAC,0.12
LV1FFLX95,BUSLVFLX141,BUSLVFLX123,6.611,Linecode=TRPX6AAC,0.12
