BUSLVFLX1,485866.6585,1098855.634
BUSLVFLX2,486061.4502,1097810.074
BUSLVFLX3,486342.7292,1099170.557
BUSLVFLX4,486062.1208,1097519.955
BUSLVFLX5,486151.4325109465,1098234.0729496684
BUSLVFLX6,485804.5225,1098635.8
BUSLVFLX7,485805.1996,1099045.223
BUSLVFLX8,485775.5577,1098857.604
BUSLVFLX9,485783.5475,1098881.35
BUSLVFLX10,485702.3867,1098815.562
BUSLVFLX11,485689.1797,1098968.117
BUSLVFLX12,485964.9043,1098782.83
BUSLVFLX13,486038.3889,1098858.175
BUSLVFLX14,486063.302,1099066.027
BUSLVFLX15,486095.5559,1099260.244
BUSLVFLX16,486219.4005,1099060.644
BUSLVFLX17,485954.0672,1098410.116
BUSLVFLX18,485997.2532,1098471.917
BUSLVFLX19,486040.295,1098511.047
BUSLVFLX20,486086.9964,1098553.831
BUSLVFLX21,485676.5214,1098490.194
BUSLVFLX22,485724.9402,1098495.511
BUSLVFLX23,485716.5278,1098569.562
BUSLVFLX24,486161.8288,1097752.367
BUSLVFLX25,486492.9683,1099233.542
BUSLVFLX26,486546.7522,1099292.274
BUSLVFLX27,485974.6135,1098192.492
BUSLVFLX28,486059.2596,1097518.803
BUSLVFLX29,485830.3691,1097972.147
BUSLVFLX30,485807.3222,1098074.025
BUSLVFLX31,485815.5831,1098909.09
BUSLVFLX32,485890.0006,1098703.025
BUSLVFLX33,486053.7791,1097519.792
BUSLVFLX34,486066.7239,1097519.912
BUSLVFLX35,486052.7345,1097798.667
BUSLVFLX36,485919.0967,1097885.557
BUSLVFLX37,485824.8951,1097961.165
BUSLVFLX38,485694.8621,1097997.525
BUSLVFLX39,485906.0363,1098338.799
BUSLVFLX40,485934.5911,1098315.418
BUSLVFLX41,485871.2518,1098348.465
BUSLVFLX42,485882.7925,1098357.347
BUSLVFLX43,485822.9515,1098389.008
BUSLVFLX44,485828.9236,1098400.455
BUSLVFLX45,485824.227,1098404.254
BUSLVFLX46,485820.8051,1098407.021
BUSLVFLX47,485819.0223,1098408.463
BUSLVFLX48,485817.1065,1098410.012
BUSLVFLX49,485829.7635,1098410.948
BUSLVFLX50,485830.8657,1098408.288
BUSLVFLX51,485833.2473,1098410.932
BUSLVFLX52,485814.2513,1098412.321
BUSLVFLX53,485824.9064,1098412.596
BUSLVFLX54,485832.4303,1098413.345
BUSLVFLX55,485829.7667,1098413.556
BUSLVFLX56,485822.6282,1098413.822
BUSLVFLX57,485800.4615,1098399.221
BUSLVFLX58,485812.0169,1098414.128
BUSLVFLX59,485820.6483,1098415.176
BUSLVFLX60,485818.2616,1098416.72
BUSLVFLX61,485799.4308,1098411.507
BUSLVFLX62,485804.2473,1098421.313
BUSLVFLX63,485799.7125,1098425.237
BUSLVFLX64,485790.2587,1098418.331
BUSLVFLX65,485795.4561,1098428.92
BUSLVFLX66,485791.386,1098432.442
BUSLVFLX67,485806.8256,1098432.989
BUSLVFLX68,485782.0613,1098426.267
BUSLVFLX69,485787.443,1098435.854
BUSLVFLX70,485765.7403,1098437.053
BUSLVFLX71,485769.1599,1098437.82
BUSLVFLX72,485768.2172,1098434.812
BUSLVFLX73,485784.5477,1098438.359
BUSLVFLX74,485798.9584,1098440.446
