NAME,BUS,BASE_KV,BASE_KW,BASE_KVAR,PHASES,LOADSHAPE,KWH,COMMUNITY
1FFLX026,BUSLVFLX1308,0.24,1.0,0.1,1,curve242_00R,248.73,1
1FFLX027,BUSLVFLX1313,0.24,1.0,0.1,1,curve459_00R,270.47,1
1FFLX028,BUSLVFLX1319,0.24,1.0,0.1,1,curve304_21R,342.29,1
1FFLX029,BUSLVFLX1336,0.24,1.0,0.1,1,curve339_00R,358.77,1
1FFLX030,BUSLVFLX1344,0.24,1.0,0.1,1,curve269_45R,264.93,1
1FFLX031,BUSLVFLX1347,0.24,1.0,0.1,1,curve242_00R,241.72,1
1FFLX032,BUSLVFLX1350,0.24,1.0,0.1,1,curve313_00R,315.10,1
1FFLX033,BUSLVFLX1360,0.24,1.0,0.1,1,curve332_00R,330.55,1
1FFLX034,BUSLVFLX1374,0.24,1.0,0.1,1,curve313_00R,312.57,1
1FFLX035,BUSLVFLX1376,0.24,1.0,0.1,1,curve325_00R,322.75,1
1FFLX036,BUSLVFLX1379,0.24,1.0,0.1,1,curve255_96R,258.75,1
