NAME,BUS,COMMUNITY,BASE_KW,NOMINAL_CAPACITY_[KWH],SOC_MAX,SOC_MIN,SOC_INIT,CHARGE_EFF,DISCHARGE_EFF,CHARGE_RATE,DISCHARGE_RATE,AUTODISCHARGE_RATE,LOADSHAPE
BAT1FFLX006,BUSLVFLX1303,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT1FFLX007,BUSLVFLX1397,1,2.56,10.240,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
