NAME,BUS,COMMUNITY,BASE_KW,NOMINAL_CAPACITY_[KWH],SOC_MAX,SOC_MIN,SOC_INIT,CHARGE_EFF,DISCHARGE_EFF,CHARGE_RATE,DISCHARGE_RATE,AUTODISCHARGE_RATE,LOADSHAPE
BAT1FFLX001,BUSLVFLX1325,1,0.4125,1.65,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT2FFLX001,BUSLVFLX1325,1,0.8250,3.30,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT3FFLX001,BUSLVFLX1325,1,1.6500,6.60,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT4FFLX001,BUSLVFLX1325,1,2.4750,9.90,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
BAT5FFLX001,BUSLVFLX1325,1,5.7750,23.1,0.8,0.2,0.5,0.96,0.96,0.25,0.9375,1.72171E-05,BatteryProfile
